max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
0.211161, 0.0681427, 0.221883, -0.101214, 0.157731, 0.0251077, 0.159717, -0.0847781
0.0992217, 0.0365182, 0.105729, -0.0993985, 0.146332, 0.0198929, 0.147678, -0.0957276
0.209371, 0.0392582, 0.213019, -0.104081, 0.146951, 0.0311378, 0.150214, -0.0747123
0.111014, 0.0752138, 0.134094, -0.0777287, 0.138236, 0.015838, 0.13914, -0.0647683
0.152275, 0.0765607, 0.170438, -0.110866, 0.148904, 0.0414794, 0.154573, -0.0743053
0.152292, 0.061828, 0.164364, -0.124836, 0.136509, 0.0489919, 0.145035, -0.071113
0.157331, 0.0565169, 0.167175, -0.0952702, 0.151728, 0.0388988, 0.156635, -0.070753
0.163071, 0.0570251, 0.172754, -0.100001, 0.151122, 0.0328622, 0.154653, -0.0868608
0.151878, 0.0291647, 0.154653, -0.118673, 0.146936, 0.0175119, 0.147976, -0.0953507
0.153384, 0.0290248, 0.156106, -0.0938604, 0.138882, -0.000790387, 0.138884, -0.079505
0.171222, 0.0335725, 0.174483, -0.10029, 0.146907, 0.00707597, 0.147077, -0.0744862
0.155097, 0.0192087, 0.156282, -0.103922, 0.120365, -0.0163349, 0.121468, -0.0997748
0.0521827, -0.0552219, 0.0759769, -0.0958642, 0.0830069, -0.0424647, 0.0932383, -0.0937581
0.0412979, -0.0651377, 0.0771261, -0.105675, 0.0737185, -0.0437043, 0.0857, -0.0749004
0.0896864, -0.0261375, 0.0934174, -0.0667212, 0.0767775, -0.0439822, 0.0884828, -0.070358
0.0849471, -0.0307286, 0.0903341, -0.0691792, 0.101887, -0.0433312, 0.110719, -0.0505485
0.0421739, -0.0464047, 0.0627059, -0.0822787, 0.0518212, -0.0538769, 0.074754, -0.052352
0.0769567, -0.015074, 0.0784192, -0.0744498, 0.0615683, -0.0495769, 0.0790476, -0.0799928
0.0566978, -0.0500125, 0.0756035, -0.076484, 0.0711355, -0.0591398, 0.0925083, -0.0589784
0.0575142, -0.0430306, 0.0718298, -0.0821357, 0.0749626, -0.067518, 0.100886, -0.0740428
0.0394201, -0.0848619, 0.0935707, -0.112375, 0.0296755, -0.0613607, 0.0681599, -0.0849356
0.0555773, -0.0592744, 0.0812545, -0.0888332, 0.0356464, -0.0653227, 0.0744159, -0.0683315
0.0599871, -0.0797515, 0.0997936, -0.0905425, 0.038312, -0.0731959, 0.0826163, -0.0894017
0.0463486, -0.0774588, 0.0902666, -0.117662, 0.0471449, -0.0849507, 0.0971559, -0.082184
0.0321436, -0.0733089, 0.0800463, -0.110585, 0.0485048, -0.088309, 0.100753, -0.105928
0.0229702, -0.0646388, 0.0685988, -0.118865, 0.0278511, -0.0722962, 0.0774753, -0.107538
0.0224876, -0.0687405, 0.0723253, -0.098147, 0.0228777, -0.0740221, 0.0774768, -0.104378
0.03619, -0.0972118, 0.10373, -0.117994, 0.0211802, -0.0805673, 0.0833048, -0.128768
0.0213537, -0.0810349, 0.0838012, -0.115519, 0.00440693, -0.0612376, 0.0613959, -0.106558
